date,AnzahlFall
2020-01-03,1
2020-01-28,3
2020-01-29,5
2020-01-31,11
2020-02-03,12
2020-02-04,16
2020-02-06,17
2020-02-07,18
2020-02-11,20
2020-02-12,22
2020-02-20,23
2020-02-24,24
2020-02-25,26
2020-02-26,33
2020-02-27,57
2020-02-28,104
2020-02-29,126
2020-03-01,162
2020-03-02,203
2020-03-03,288
2020-03-04,442
2020-03-05,626
2020-03-06,812
2020-03-07,953
2020-03-08,1054
2020-03-09,1401
2020-03-10,2002
2020-03-11,2759
2020-03-12,3749
2020-03-13,5203
2020-03-14,6510
2020-03-15,7488
2020-03-16,9536
2020-03-17,12580
2020-03-18,16189
2020-03-19,20246
2020-03-20,24294
2020-03-21,27648
2020-03-22,29915
2020-03-23,33641
2020-03-24,38525
2020-03-25,44215
2020-03-26,50127
2020-03-27,56121
2020-03-28,60854
2020-03-29,63942
2020-03-30,68067
2020-03-31,74130
2020-04-01,80392
2020-04-02,86945
2020-04-03,93133
2020-04-04,97470
2020-04-05,100022
2020-04-06,103694
2020-04-07,108890
2020-04-08,114170
2020-04-09,119090
2020-04-10,122443
2020-04-11,125337
2020-04-12,127204
2020-04-13,128800
2020-04-14,131267
2020-04-15,134595
2020-04-16,138017
2020-04-17,141068
2020-04-18,143177
2020-04-19,144557
2020-04-20,146284
2020-04-21,148475
2020-04-22,150971
2020-04-23,153056
2020-04-24,154961
2020-04-25,156235
2020-04-26,156941
2020-04-27,158058
2020-04-28,159518
2020-04-29,160954
2020-04-30,162416
2020-05-01,163332
2020-05-02,163953
2020-05-03,164380
2020-05-04,165103
2020-05-05,166193
2020-05-06,167406
2020-05-07,168602
2020-05-08,169585
2020-05-09,170263
2020-05-10,170605
2020-05-11,171288
2020-05-12,172129
2020-05-13,173035
2020-05-14,173840
2020-05-15,174553
2020-05-16,175015
2020-05-17,175331
2020-05-18,175875
2020-05-19,176604
2020-05-20,177436
2020-05-21,177854
2020-05-22,178381
2020-05-23,178720
2020-05-24,178945
2020-05-25,179358
2020-05-26,179974
2020-05-27,180621
2020-05-28,181151
2020-05-29,181598
2020-05-30,181972
2020-05-31,182151
2020-06-01,182288
2020-06-02,182592
2020-06-03,183089
2020-06-04,183617
2020-06-05,184058
2020-06-06,184341
2020-06-07,184506
2020-06-08,184805
2020-06-09,185233
2020-06-10,185752
2020-06-11,186030
2020-06-12,186378
2020-06-13,186677
2020-06-14,186849
2020-06-15,187107
2020-06-16,187647
2020-06-17,188623
2020-06-18,189258
2020-06-19,190153
2020-06-20,190681
2020-06-21,190937
2020-06-22,191422
2020-06-23,191966
2020-06-24,192469
2020-06-25,193034
2020-06-26,193609
2020-06-27,193941
2020-06-28,194141
2020-06-29,194559
2020-06-30,195019
2020-07-01,195502
2020-07-02,195973
2020-07-03,196399
2020-07-04,196692
2020-07-05,196835
2020-07-06,197155
2020-07-07,197545
2020-07-08,197994
2020-07-09,198422
2020-07-10,198847
2020-07-11,199123
2020-07-12,199253
2020-07-13,199580
2020-07-14,200038
2020-07-15,200576
2020-07-16,201131
2020-07-17,201655
2020-07-18,202082
2020-07-19,202270
2020-07-20,202725
2020-07-21,203244
2020-07-22,203941
2020-07-23,204641
2020-07-24,205449
2020-07-25,205993
2020-07-26,206204
2020-07-27,206730
2020-07-28,207479
2020-07-29,208387
2020-07-30,209240
2020-07-31,210159
2020-08-01,210721
2020-08-02,211022
2020-08-03,211813
2020-08-04,212758
2020-08-05,213870
2020-08-06,215035
2020-08-07,216041
2020-08-08,216749
2020-08-09,217068
2020-08-10,218166
2020-08-11,219356
2020-08-12,220898
2020-08-13,222390
2020-08-14,223761
2020-08-15,224512
2020-08-16,225004
2020-08-17,226552
2020-08-18,228086
2020-08-19,229837
2020-08-20,231460
2020-08-21,233122
2020-08-22,234028
2020-08-23,234588
2020-08-24,236017
2020-08-25,237496
2020-08-26,239106
2020-08-27,240646
2020-08-28,242027
2020-08-29,242856
2020-08-30,243393
2020-08-31,244575
2020-09-01,245895
2020-09-02,247308
2020-09-03,248823
2020-09-04,250315
2020-09-05,251419
2020-09-06,251997
2020-09-07,253415
2020-09-08,254787
2020-09-09,256540
2020-09-10,258123
2020-09-11,259780
2020-09-12,261004
2020-09-13,261761
2020-09-14,263242
2020-09-15,265241
2020-09-16,267432
2020-09-17,269775
2020-09-18,271940
2020-09-19,273331
2020-09-20,274017
2020-09-21,275666
2020-09-22,277481
2020-09-23,279680
2020-09-24,282076
2020-09-25,284396
2020-09-26,286180
2020-09-27,287061
2020-09-28,288878
2020-09-29,291036
2020-09-30,293765
2020-10-01,296675
2020-10-02,299583
2020-10-03,301790
2020-10-04,302941
2020-10-05,305334
2020-10-06,308933
2020-10-07,313416
2020-10-08,318096
2020-10-09,323145
2020-10-10,326775
2020-10-11,329051
2020-10-12,333235
2020-10-13,338606
2020-10-14,345840
2020-10-15,353730
2020-10-16,361686
2020-10-17,367372
2020-10-18,371048
2020-10-19,377496
2020-10-20,386933
2020-10-21,399286
2020-10-22,413142
2020-10-23,427158
2020-10-24,438240
2020-10-25,445714
2020-10-26,457690
2020-10-27,473621
2020-10-28,492837
2020-10-29,512660
2020-10-30,532058
2020-10-31,546077
2020-11-01,556628
2020-11-02,571856
2020-11-03,591112
2020-11-04,612207
2020-11-05,634381
2020-11-06,655885
2020-11-07,671697
2020-11-08,681861
2020-11-09,697663
2020-11-10,716965
2020-11-11,738917
2020-11-12,760661
2020-11-13,773244
