date,AnzahlTodesfall
2020-01-03,0
2020-01-28,0
2020-01-29,0
2020-01-31,0
2020-02-03,0
2020-02-04,0
2020-02-06,0
2020-02-07,0
2020-02-11,0
2020-02-12,0
2020-02-20,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,2
2020-03-05,3
2020-03-06,7
2020-03-07,11
2020-03-08,12
2020-03-09,19
2020-03-10,23
2020-03-11,33
2020-03-12,46
2020-03-13,62
2020-03-14,82
2020-03-15,97
2020-03-16,133
2020-03-17,177
2020-03-18,241
2020-03-19,306
2020-03-20,402
2020-03-21,497
2020-03-22,575
2020-03-23,706
2020-03-24,872
2020-03-25,1089
2020-03-26,1351
2020-03-27,1614
2020-03-28,1860
2020-03-29,2024
2020-03-30,2288
2020-03-31,2662
2020-04-01,3038
2020-04-02,3453
2020-04-03,3847
2020-04-04,4092
2020-04-05,4275
2020-04-06,4566
2020-04-07,4902
2020-04-08,5238
2020-04-09,5563
2020-04-10,5770
2020-04-11,5972
2020-04-12,6141
2020-04-13,6304
2020-04-14,6522
2020-04-15,6750
2020-04-16,6939
2020-04-17,7112
2020-04-18,7234
2020-04-19,7352
2020-04-20,7498
2020-04-21,7635
2020-04-22,7762
2020-04-23,7879
2020-04-24,7962
2020-04-25,8041
2020-04-26,8069
2020-04-27,8143
2020-04-28,8224
2020-04-29,8282
2020-04-30,8350
2020-05-01,8396
2020-05-02,8430
2020-05-03,8445
2020-05-04,8485
2020-05-05,8528
2020-05-06,8567
2020-05-07,8616
2020-05-08,8659
2020-05-09,8682
2020-05-10,8696
2020-05-11,8719
2020-05-12,8750
2020-05-13,8776
2020-05-14,8796
2020-05-15,8827
2020-05-16,8846
2020-05-17,8854
2020-05-18,8876
2020-05-19,8903
2020-05-20,8925
2020-05-21,8932
2020-05-22,8947
2020-05-23,8958
2020-05-24,8963
2020-05-25,8976
2020-05-26,8991
2020-05-27,9003
2020-05-28,9014
2020-05-29,9021
2020-05-30,9025
2020-05-31,9028
2020-06-01,9033
2020-06-02,9040
2020-06-03,9051
2020-06-04,9058
2020-06-05,9064
2020-06-06,9069
2020-06-07,9073
2020-06-08,9076
2020-06-09,9077
2020-06-10,9087
2020-06-11,9088
2020-06-12,9098
2020-06-13,9099
2020-06-14,9105
2020-06-15,9109
2020-06-16,9119
2020-06-17,9126
2020-06-18,9129
2020-06-19,9136
2020-06-20,9140
2020-06-21,9143
2020-06-22,9144
2020-06-23,9151
2020-06-24,9153
2020-06-25,9158
2020-06-26,9164
2020-06-27,9166
2020-06-28,9166
2020-06-29,9170
2020-06-30,9171
2020-07-01,9176
2020-07-02,9180
2020-07-03,9186
2020-07-04,9188
2020-07-05,9192
2020-07-06,9197
2020-07-07,9201
2020-07-08,9207
2020-07-09,9212
2020-07-10,9215
2020-07-11,9215
2020-07-12,9216
2020-07-13,9221
2020-07-14,9223
2020-07-15,9229
2020-07-16,9235
2020-07-17,9242
2020-07-18,9242
2020-07-19,9246
2020-07-20,9250
2020-07-21,9254
2020-07-22,9263
2020-07-23,9265
2020-07-24,9275
2020-07-25,9278
2020-07-26,9278
2020-07-27,9285
2020-07-28,9289
2020-07-29,9293
2020-07-30,9298
2020-07-31,9308
2020-08-01,9309
2020-08-02,9310
2020-08-03,9318
2020-08-04,9323
2020-08-05,9325
2020-08-06,9331
2020-08-07,9336
2020-08-08,9338
2020-08-09,9340
2020-08-10,9342
2020-08-11,9344
2020-08-12,9354
2020-08-13,9356
2020-08-14,9361
2020-08-15,9365
2020-08-16,9370
2020-08-17,9375
2020-08-18,9384
2020-08-19,9385
2020-08-20,9391
2020-08-21,9395
2020-08-22,9397
2020-08-23,9397
2020-08-24,9402
2020-08-25,9403
2020-08-26,9406
2020-08-27,9407
2020-08-28,9408
2020-08-29,9410
2020-08-30,9413
2020-08-31,9417
2020-09-01,9420
2020-09-02,9422
2020-09-03,9429
2020-09-04,9436
2020-09-05,9441
2020-09-06,9446
2020-09-07,9450
2020-09-08,9466
2020-09-09,9475
2020-09-10,9481
2020-09-11,9491
2020-09-12,9496
2020-09-13,9503
2020-09-14,9508
2020-09-15,9521
2020-09-16,9535
2020-09-17,9541
2020-09-18,9554
2020-09-19,9566
2020-09-20,9576
2020-09-21,9593
2020-09-22,9607
2020-09-23,9616
2020-09-24,9633
2020-09-25,9646
2020-09-26,9668
2020-09-27,9675
2020-09-28,9691
2020-09-29,9704
2020-09-30,9718
2020-10-01,9740
2020-10-02,9759
2020-10-03,9769
2020-10-04,9778
2020-10-05,9806
2020-10-06,9831
2020-10-07,9854
2020-10-08,9886
2020-10-09,9919
2020-10-10,9948
2020-10-11,9968
2020-10-12,10018
2020-10-13,10062
2020-10-14,10107
2020-10-15,10166
2020-10-16,10233
2020-10-17,10275
2020-10-18,10315
2020-10-19,10375
2020-10-20,10461
2020-10-21,10559
2020-10-22,10683
2020-10-23,10814
2020-10-24,10884
2020-10-25,10963
2020-10-26,11092
2020-10-27,11222
2020-10-28,11331
2020-10-29,11452
2020-10-30,11567
2020-10-31,11657
2020-11-01,11730
2020-11-02,11833
2020-11-03,11930
2020-11-04,12016
2020-11-05,12104
2020-11-06,12153
2020-11-07,12186
2020-11-08,12222
2020-11-09,12273
2020-11-10,12309
2020-11-11,12339
2020-11-12,12364
2020-11-13,12369
