state,begin,end
Baden-Württemberg,2020-07-30,2020-09-12
Bayern,2020-07-27,2020-09-07
Berlin,2020-06-25,2020-08-07
Brandenburg,2020-06-25,2020-08-08
Bremen,2020-07-16,2020-08-26
Hamburg,2020-06-25,2020-08-05
Hessen,2020-07-06,2020-08-14
Mecklenburg-Vorpommern,2020-06-22,2020-08-01
Niedersachsen,2020-07-16,2020-08-26
Nordrhein-Westfalen,2020-06-29,2020-08-11
Rheinland-Pfalz,2020-07-06,2020-08-14
Saarland,2020-07-06,2020-08-14
Sachsen,2020-07-20,2020-08-28
Sachsen-Anhalt,2020-07-16,2020-08-26
Schleswig-Holstein,2020-06-29,2020-08-08
Thüringen,2020-07-20,2020-08-29
